subscriber_id,tenure_months,plan_tier,billing_cycle,country,payment_method,auto_renew,multi_profile,engagement_cohort,watch_hours_last_7d,watch_hours_last_30d,watch_hours_last_90d,distinct_titles_7d,distinct_titles_30d,distinct_titles_90d,days_since_last_login,logins_last_30d,support_tickets_7d,support_tickets_30d,support_tickets_90d,payment_failures_30d,payment_failures_90d,payment_failures_180d,days_since_plan_change,promo_active,days_until_promo_expires,monthly_revenue,churned_next_30d
2000000,3,Standard,monthly,Other,gift_card,True,False,regular,3.22,11.0,27.9,1,8,21,0,7,0,0,0,0,0,0,-1,False,-1,14.0,0
2000001,9,Standard,monthly,US,gift_card,True,True,heavy,9.39,31.0,77.3,7,25,53,6,28,0,0,1,0,1,1,-1,False,-1,14.0,0
2000002,12,Premium,monthly,UK,credit_card,False,False,regular,5.6,26.0,82.7,4,16,56,3,13,0,0,0,0,0,0,67,False,-1,19.0,0
2000003,6,Standard,monthly,US,credit_card,True,True,casual,0.67,2.8,8.5,0,2,5,5,6,0,0,0,0,0,0,177,False,-1,14.0,0
2000004,3,Basic,annual,UK,paypal,True,False,regular,1.51,9.6,37.8,1,5,24,0,14,0,0,0,0,0,0,-1,True,75,9.0,0
2000005,4,Premium,annual,US,paypal,True,False,regular,1.51,7.3,23.5,2,6,15,1,19,0,0,0,0,0,0,-1,False,-1,19.0,0
2000006,0,Standard,annual,US,paypal,True,False,regular,10.76,40.2,109.4,7,26,79,3,11,0,0,0,0,0,0,-1,False,-1,14.0,0
2000007,2,Standard,annual,US,paypal,False,True,regular,0.91,5.0,17.9,2,2,12,0,17,0,0,0,0,0,0,-1,False,-1,14.0,0
2000008,21,Basic,monthly,Other,credit_card,True,False,heavy,2.55,17.4,72.3,2,13,52,0,22,0,0,0,0,0,0,-1,False,-1,9.0,1
2000009,0,Standard,monthly,US,credit_card,True,True,heavy,16.26,54.5,137.8,13,37,97,6,22,0,0,0,0,0,0,-1,False,-1,14.0,0
2000010,5,Basic,monthly,AU,credit_card,True,True,regular,1.43,7.0,23.3,1,6,18,0,20,0,0,0,0,0,0,-1,False,-1,9.0,0
2000011,14,Premium,monthly,Other,gift_card,True,True,regular,6.44,16.3,33.8,7,12,24,0,19,0,0,1,0,0,1,-1,False,-1,19.0,0
2000012,10,Standard,monthly,US,credit_card,True,True,casual,0.89,4.1,12.7,2,4,6,0,5,0,0,0,0,0,0,-1,False,-1,14.0,0
2000013,7,Premium,annual,US,credit_card,True,False,regular,3.01,14.9,49.4,3,10,33,4,12,0,0,0,0,0,0,-1,False,-1,19.0,0
2000014,16,Standard,monthly,UK,credit_card,True,False,regular,6.93,22.6,56.0,4,15,40,3,18,0,0,0,0,0,1,-1,False,-1,14.0,0
2000015,8,Basic,monthly,Other,credit_card,True,True,regular,9.28,32.0,82.3,7,23,63,23,10,0,0,0,0,0,0,-1,False,-1,9.0,0
2000016,5,Standard,monthly,Other,credit_card,False,False,casual,0.79,2.8,7.6,0,0,4,14,1,0,0,2,0,0,0,-1,False,-1,14.0,0
2000017,44,Basic,annual,US,gift_card,True,True,regular,1.31,5.2,15.0,1,2,13,1,10,0,0,0,0,0,0,-1,False,-1,9.0,0
2000018,0,Premium,monthly,Other,paypal,False,False,regular,2.03,7.3,19.3,3,7,14,18,6,0,0,0,0,0,0,-1,True,3,19.0,0
2000019,4,Standard,monthly,US,credit_card,False,False,casual,3.1,8.2,17.5,2,7,12,7,2,0,0,0,0,0,0,-1,False,-1,14.0,0
2000020,5,Standard,monthly,US,credit_card,True,False,regular,5.23,17.1,42.6,4,15,28,4,12,0,0,0,0,0,0,89,False,-1,14.0,0
2000021,15,Basic,monthly,UK,credit_card,True,True,regular,2.64,14.3,50.6,2,8,38,1,15,0,0,0,0,0,0,-1,False,-1,9.0,0
2000022,1,Premium,monthly,AU,paypal,True,False,regular,1.9,8.2,24.4,1,6,15,9,14,0,0,0,0,0,0,-1,False,-1,19.0,0
2000023,25,Premium,annual,US,paypal,True,True,casual,0.7,2.3,5.8,1,0,7,1,4,0,1,1,0,0,0,-1,False,-1,19.0,0
2000024,0,Standard,monthly,CA,credit_card,True,False,regular,3.49,9.9,22.4,3,7,15,4,11,0,0,1,0,0,0,-1,False,-1,14.0,0
2000025,34,Basic,annual,US,credit_card,True,False,regular,3.22,14.0,42.5,1,11,30,30,4,0,0,0,0,0,0,-1,False,-1,9.0,0
2000026,2,Standard,monthly,US,paypal,True,True,heavy,16.7,81.4,267.2,11,57,184,1,25,0,0,0,0,0,0,-1,False,-1,14.0,0
2000027,8,Basic,monthly,Other,gift_card,True,True,regular,1.52,5.8,16.2,1,2,11,2,19,0,0,0,0,0,0,-1,False,-1,9.0,0
2000028,1,Basic,monthly,CA,gift_card,True,False,regular,1.27,6.9,24.6,3,6,18,6,12,0,0,0,0,0,0,-1,False,-1,9.0,0
2000029,7,Standard,monthly,US,credit_card,False,True,regular,0.65,3.3,11.2,1,1,6,28,2,0,0,2,0,0,0,-1,False,-1,14.0,0
2000030,1,Standard,monthly,CA,credit_card,True,True,heavy,9.82,42.4,127.9,5,32,89,1,30,0,0,0,0,0,0,-1,False,-1,14.0,0
2000031,7,Premium,monthly,US,credit_card,False,False,regular,4.63,27.5,103.4,3,15,73,5,12,0,0,0,0,0,0,-1,True,61,19.0,0
2000032,2,Basic,monthly,US,gift_card,True,False,casual,0.51,2.1,6.2,1,3,4,2,5,0,0,0,0,0,0,-1,False,-1,9.0,0
2000033,4,Basic,monthly,US,credit_card,False,True,heavy,5.24,27.9,97.5,4,17,70,0,29,0,0,1,0,0,0,-1,False,-1,9.0,0
2000034,0,Standard,annual,Other,gift_card,True,True,regular,3.34,14.4,43.1,3,8,31,0,21,0,0,2,0,0,0,-1,False,-1,14.0,0
2000035,10,Basic,monthly,US,credit_card,True,False,casual,0.53,2.4,7.4,1,3,4,0,2,0,0,0,0,0,0,-1,True,50,9.0,0
2000036,8,Basic,monthly,US,credit_card,True,True,casual,0.57,2.1,5.6,3,2,5,8,7,0,0,0,0,0,0,165,False,-1,9.0,0
2000037,3,Standard,monthly,CA,credit_card,True,True,regular,2.06,6.9,17.4,1,4,12,1,11,0,0,0,0,0,0,-1,False,-1,14.0,0
2000038,10,Basic,monthly,US,gift_card,True,False,regular,0.88,7.4,35.3,0,5,26,4,12,0,0,0,0,0,0,-1,True,66,9.0,0
2000039,0,Standard,annual,US,paypal,True,False,heavy,5.37,25.5,82.2,3,16,55,0,33,0,0,0,0,1,1,-1,False,-1,14.0,0
2000040,15,Standard,annual,US,credit_card,True,False,regular,2.43,12.0,40.0,1,7,29,1,12,0,0,0,0,0,0,-1,False,-1,14.0,0
2000041,6,Premium,annual,Other,credit_card,True,False,regular,3.34,12.5,34.0,1,9,28,23,9,0,0,0,0,0,0,-1,False,-1,19.0,0
2000042,9,Standard,monthly,US,credit_card,True,False,regular,5.2,24.4,78.0,3,18,55,0,19,0,0,0,0,0,0,-1,False,-1,14.0,0
2000043,1,Basic,monthly,US,credit_card,True,True,regular,4.32,17.5,50.6,3,13,37,4,17,0,0,0,0,0,0,-1,False,-1,9.0,0
2000044,15,Premium,monthly,UK,credit_card,True,True,regular,0.38,2.7,11.8,1,0,11,1,10,0,0,2,0,0,0,-1,False,-1,19.0,0
2000045,5,Premium,annual,US,credit_card,False,False,heavy,12.54,47.6,131.4,9,36,94,2,22,0,0,0,0,0,0,225,False,-1,19.0,0
2000046,4,Basic,monthly,US,paypal,False,True,regular,2.57,10.9,32.5,0,8,21,0,15,0,0,0,0,0,0,-1,False,-1,9.0,0
2000047,6,Basic,annual,UK,credit_card,False,True,regular,0.32,1.8,6.4,2,2,4,22,13,0,0,1,0,0,0,-1,False,-1,9.0,0
2000048,17,Standard,monthly,UK,gift_card,True,True,heavy,4.04,22.5,80.9,2,17,56,1,25,0,0,0,0,0,0,321,False,-1,14.0,0
2000049,6,Basic,monthly,UK,credit_card,True,False,regular,13.54,26.1,44.7,8,17,28,4,12,0,0,0,0,0,0,-1,False,-1,9.0,0
2000050,40,Basic,monthly,US,credit_card,True,False,casual,0.18,1.2,5.2,0,2,3,6,4,0,0,0,0,0,0,-1,False,-1,9.0,0
2000051,1,Basic,annual,US,credit_card,False,False,regular,2.28,10.8,34.6,2,6,25,3,19,0,0,1,0,0,0,-1,False,-1,9.0,0
2000052,14,Standard,monthly,US,paypal,True,True,regular,2.34,13.2,48.3,2,8,35,4,12,0,0,0,0,0,0,-1,False,-1,14.0,0
